"month","year","treatment","species","wgt","period","energy","decade"
1,1980,"control","DM",43,30,95.5462415403459,1980
1,1980,"control","DM",38,30,87.0863249865208,1980
1,1980,"control","DM",37,30,85.3617990345562,1980
1,1980,"control","DO",53,30,111.768434661472,1980
1,1980,"control","DM",42,30,93.8748452722046,1980
1,1980,"exclosure","PF",7,30,24.4870121320489,1980
1,1980,"control","DS",131,30,220.325994010241,1980
1,1980,"control","DM",51,30,108.590016337657,1980
1,1980,"control","DM",40,30,90.5018089336904,1980
1,1980,"control","DS",141,30,232.823385949575,1980
1,1980,"control","DM",36,30,83.6255798186177,1980
1,1980,"control","PF",7,30,24.4870121320489,1980
1,1980,"control","DM",48,30,103.763161232581,1980
1,1980,"spectabs","DM",45,30,98.8602380143538,1980
1,1980,"spectabs","DM",40,30,90.5018089336904,1980
1,1980,"spectabs","DM",44,30,97.2079476020466,1980
1,1980,"spectabs","DM",61,30,124.196581661733,1980
1,1980,"control","DM",40,30,90.5018089336904,1980
1,1980,"control","DO",53,30,111.768434661472,1980
1,1980,"control","DO",29,30,71.1067394489141,1980
1,1980,"control","PF",8,30,27.0663539374619,1980
1,1980,"control","DO",50,30,106.989157998308,1980
1,1980,"control","DM",40,30,90.5018089336904,1980
1,1980,"control","DM",46,30,100.503373641219,1980
1,1980,"control","DS",136,30,226.603413493298,1980
1,1980,"control","DS",114,30,198.513892371031,1980
1,1980,"removal","RM",10,30,31.9972214033309,1980
1,1980,"control","PF",10,30,31.9972214033309,1980
1,1980,"control","DM",37,30,85.3617990345562,1980
1,1980,"control","DS",132,30,221.586202550956,1980
1,1980,"control","DM",36,30,83.6255798186177,1980
1,1980,"control","DM",47,30,102.137602618615,1980
1,1980,"control","DM",49,30,105.380274719703,1980
1,1980,"control","DM",45,30,98.8602380143538,1980
1,1980,"control","DM",48,30,103.763161232581,1980
1,1980,"control","DM",26,30,65.5152311109777,1980
1,1980,"control","DM",49,30,105.380274719703,1980
1,1980,"control","DM",40,30,90.5018089336904,1980
1,1980,"control","DM",45,30,98.8602380143538,1980
1,1980,"control","DS",131,30,220.325994010241,1980
1,1980,"control","DM",37,30,85.3617990345562,1980
1,1980,"control","DM",49,30,105.380274719703,1980
1,1980,"control","DS",68,30,134.739195805067,1980
1,1980,"control","DM",37,30,85.3617990345562,1980
1,1980,"exclosure","RM",10,30,31.9972214033309,1980
1,1980,"exclosure","PF",7,30,24.4870121320489,1980
1,1980,"exclosure","PF",7,30,24.4870121320489,1980
1,1980,"control","DM",49,30,105.380274719703,1980
1,1980,"control","DM",47,30,102.137602618615,1980
1,1980,"control","RM",9,30,29.5661072852007,1980
1,1980,"control","DO",50,30,106.989157998308,1980
1,1980,"control","DM",33,30,78.3425532205783,1980
1,1980,"control","DS",132,30,221.586202550956,1980
1,1980,"control","DM",29,30,71.1067394489141,1980
1,1980,"control","DO",51,30,108.590016337657,1980
1,1980,"control","DO",32,30,76.5552096446982,1980
1,1980,"exclosure","RM",12,30,36.6858174724557,1980
1,1980,"exclosure","RM",9,30,29.5661072852007,1980
1,1980,"exclosure","RM",9,30,29.5661072852007,1980
1,1980,"exclosure","PE",17,30,47.6374995226924,1980
1,1980,"control","DS",150,30,243.882540674793,1980
1,1980,"exclosure","PF",8,30,27.0663539374619,1980
1,1980,"exclosure","PF",9,30,29.5661072852007,1980
1,1980,"control","DM",25,30,63.616133959869,1980
1,1980,"control","DS",142,30,234.060713554663,1980
1,1980,"control","DM",40,30,90.5018089336904,1980
1,1980,"control","DS",120,30,206.29951213152,1980
1,1980,"control","DM",54,30,113.346362215707,1980
2,1980,"control","DS",105,31,186.639791531301,1980
2,1980,"control","RM",9,31,29.5661072852007,1980
2,1980,"control","DM",45,31,98.8602380143538,1980
2,1980,"control","PE",21,31,55.8183169587426,1980
2,1980,"exclosure","PF",7,31,24.4870121320489,1980
2,1980,"exclosure","PF",5,31,19.0256616765792,1980
2,1980,"exclosure","RM",11,31,34.3681994673169,1980
2,1980,"exclosure","RM",11,31,34.3681994673169,1980
2,1980,"exclosure","PF",8,31,27.0663539374619,1980
2,1980,"control","PF",7,31,24.4870121320489,1980
2,1980,"control","DS",142,31,234.060713554663,1980
2,1980,"spectabs","DM",47,31,102.137602618615,1980
2,1980,"spectabs","DM",42,31,93.8748452722046,1980
2,1980,"control","DS",143,31,235.295864662335,1980
2,1980,"control","DM",43,31,95.5462415403459,1980
2,1980,"control","DO",47,31,102.137602618615,1980
2,1980,"control","DM",43,31,95.5462415403459,1980
2,1980,"control","DS",133,31,222.844026566197,1980
2,1980,"control","DO",50,31,106.989157998308,1980
2,1980,"control","DS",103,31,183.967109573043,1980
2,1980,"control","DO",46,31,100.503373641219,1980
2,1980,"removal","RM",10,31,31.9972214033309,1980
2,1980,"control","PF",7,31,24.4870121320489,1980
2,1980,"control","RM",16,31,45.52,1980
2,1980,"control","DM",36,31,83.6255798186177,1980
2,1980,"control","DM",50,31,106.989157998308,1980
2,1980,"control","DM",40,31,90.5018089336904,1980
2,1980,"control","DM",47,31,102.137602618615,1980
2,1980,"control","DM",42,31,93.8748452722046,1980
